tGroup,round,epoch,target,outcome,probX,probY,probZ
0-2,6,616,0,0,0.74,0.17,0.14
0-2,6,617,0,1,0.45,0.49,0.12
0-2,6,618,0,0,0.50,0.43,0.11
0-2,6,619,0,0,0.74,0.23,0.12
0-2,6,620,1,1,0.36,0.60,0.14
0-2,6,621,0,0,0.73,0.24,0.12
0-2,6,622,1,1,0.30,0.63,0.15
0-2,6,623,0,0,0.78,0.09,0.21
0-2,6,624,0,0,0.82,0.14,0.12
0-2,6,625,2,2,0.28,0.08,0.78
0-2,6,626,1,1,0.25,0.71,0.14
0-2,6,627,2,2,0.23,0.20,0.74
0-2,6,628,0,0,0.68,0.20,0.14
0-2,6,629,0,0,0.81,0.14,0.13
0-2,6,630,2,2,0.26,0.08,0.79
0-2,6,631,2,2,0.25,0.08,0.80
0-2,6,632,2,2,0.22,0.18,0.77
0-2,6,633,2,2,0.19,0.23,0.52
0-2,6,634,1,1,0.27,0.65,0.16
0-2,6,635,1,1,0.25,0.68,0.16
0-2,6,636,0,0,0.66,0.26,0.13
0-2,6,637,0,0,0.66,0.19,0.16
0-2,6,638,0,0,0.71,0.24,0.13
0-2,6,639,0,0,0.81,0.13,0.14
0-2,6,640,0,0,0.71,0.17,0.15
0-2,6,641,0,0,0.75,0.22,0.12
0-2,6,642,0,0,0.84,0.12,0.13
0-2,6,643,2,2,0.26,0.15,0.77
0-2,6,644,1,1,0.29,0.61,0.17
0-2,6,645,0,0,0.82,0.12,0.13
0-2,6,646,1,1,0.27,0.66,0.17
0-2,6,647,2,2,0.22,0.18,0.77
0-2,6,648,2,2,0.21,0.18,0.78
0-2,6,649,2,2,0.22,0.08,0.83
0-2,6,650,2,2,0.21,0.08,0.84
0-2,6,651,0,0,0.49,0.40,0.12
0-2,6,652,1,1,0.25,0.64,0.19
0-2,6,653,1,1,0.21,0.70,0.16
0-2,6,654,2,2,0.20,0.18,0.79
0-2,6,655,1,1,0.19,0.72,0.16
0-2,6,656,2,2,0.21,0.10,0.78
0-2,6,657,0,0,0.66,0.19,0.15
0-2,6,658,0,0,0.71,0.24,0.12
0-2,6,659,1,1,0.25,0.65,0.15
0-2,6,660,0,0,0.71,0.24,0.12
0-2,6,661,1,1,0.21,0.73,0.15
0-2,6,662,1,1,0.20,0.75,0.15
0-2,6,663,2,2,0.19,0.20,0.78
0-2,6,664,1,1,0.18,0.76,0.15
0-2,6,665,0,0,0.79,0.15,0.13
0-2,6,666,0,0,0.69,0.20,0.13
0-2,6,667,1,1,0.28,0.69,0.13
0-2,6,668,0,0,0.80,0.15,0.12
0-2,6,669,1,1,0.27,0.71,0.12
0-2,6,670,2,2,0.19,0.11,0.81
0-2,6,671,1,1,0.17,0.79,0.14
0-2,6,672,2,2,0.18,0.11,0.81
0-2,6,673,2,2,0.17,0.11,0.82
0-2,6,674,0,0,0.68,0.28,0.11
0-2,6,675,2,2,0.17,0.21,0.78
0-2,6,676,2,2,0.16,0.20,0.79
0-2,6,677,2,2,0.16,0.19,0.80
0-2,6,678,1,1,0.18,0.73,0.19
0-2,6,679,0,0,0.65,0.20,0.14
0-2,6,680,1,1,0.24,0.70,0.14
0-2,6,681,1,1,0.16,0.78,0.15
0-2,6,682,2,2,0.16,0.10,0.83
0-2,6,683,2,2,0.15,0.21,0.80
0-2,6,684,2,2,0.16,0.10,0.84
0-2,6,685,1,1,0.18,0.72,0.15
0-2,6,686,2,2,0.14,0.21,0.81
0-2,6,687,2,2,0.14,0.20,0.81
0-2,6,688,2,2,0.16,0.10,0.82
0-2,6,689,1,1,0.13,0.78,0.18
0-2,6,690,2,2,0.14,0.10,0.86
0-2,6,691,1,1,0.18,0.73,0.15
0-2,6,692,1,1,0.12,0.80,0.17
0-2,6,693,1,1,0.13,0.79,0.18
0-2,6,694,0,0,0.68,0.11,0.23
0-2,6,695,1,1,0.16,0.76,0.14
0-2,6,696,2,2,0.13,0.12,0.84
0-2,6,697,2,2,0.12,0.24,0.80
0-2,6,698,0,1,0.39,0.52,0.11
0-2,6,699,2,2,0.14,0.19,0.81
0-2,7,0,2,1,0.30,0.85,0.85
0-2,7,1,0,1,0.35,0.88,0.80
0-2,7,2,2,2,0.32,0.82,0.83
0-2,7,3,2,1,0.25,0.83,0.82
0-2,7,4,1,2,0.34,0.78,0.79
0-2,7,5,1,1,0.32,0.82,0.74
0-2,7,6,2,1,0.22,0.82,0.78
0-2,7,7,2,1,0.21,0.80,0.78
0-2,7,8,2,2,0.25,0.74,0.80
0-2,7,9,1,1,0.28,0.76,0.73
0-2,7,10,1,1,0.23,0.74,0.72
0-2,7,11,0,1,0.35,0.80,0.67
0-2,7,12,0,1,0.39,0.77,0.63
0-2,7,13,2,2,0.28,0.66,0.69
0-2,7,14,1,1,0.38,0.70,0.63
0-2,7,15,1,2,0.28,0.65,0.71
0-2,7,16,0,1,0.29,0.74,0.63
0-2,7,17,0,1,0.31,0.69,0.49
0-2,7,18,0,1,0.45,0.68,0.46
0-2,7,19,1,2,0.36,0.56,0.57
0-2,7,20,2,1,0.27,0.62,0.49
0-2,7,21,2,1,0.30,0.58,0.55
0-2,7,22,2,1,0.25,0.56,0.55
0-2,7,23,0,1,0.38,0.55,0.45
0-2,7,24,2,2,0.26,0.49,0.55
0-2,7,25,2,2,0.25,0.47,0.58
0-2,7,26,1,2,0.32,0.41,0.64
0-2,7,27,1,2,0.30,0.44,0.60
0-2,7,28,2,2,0.32,0.47,0.54
0-2,7,29,0,1,0.30,0.50,0.45
0-2,7,30,1,2,0.29,0.44,0.46
0-2,7,31,1,2,0.30,0.45,0.54
0-2,7,32,1,1,0.27,0.50,0.41
0-2,7,33,2,1,0.21,0.53,0.46
0-2,7,34,1,1,0.28,0.47,0.41
0-2,7,35,0,1,0.29,0.57,0.44
0-2,7,36,0,1,0.36,0.56,0.37
0-2,7,37,1,1,0.36,0.45,0.34
0-2,7,38,1,1,0.28,0.49,0.33
0-2,7,39,2,1,0.27,0.51,0.40
0-2,7,40,2,1,0.25,0.48,0.44
0-2,7,41,0,1,0.34,0.53,0.38
0-2,7,42,0,1,0.43,0.50,0.33
0-2,7,43,2,2,0.31,0.34,0.40
0-2,7,44,1,2,0.31,0.38,0.47
0-2,7,45,0,1,0.33,0.44,0.31
0-2,7,46,1,1,0.31,0.40,0.33
0-2,7,47,2,1,0.34,0.40,0.40
0-2,7,48,1,1,0.40,0.46,0.34
0-2,7,49,0,1,0.42,0.50,0.31
0-2,7,50,1,1,0.41,0.46,0.31
0-2,7,51,1,1,0.29,0.43,0.40
0-2,7,52,2,1,0.26,0.40,0.35
0-2,7,53,0,1,0.35,0.47,0.27
0-2,7,54,1,1,0.30,0.42,0.40
0-2,7,55,1,1,0.28,0.45,0.38
0-2,7,56,2,1,0.30,0.46,0.36
0-2,7,57,2,1,0.24,0.40,0.38
0-2,7,58,2,1,0.19,0.45,0.42
0-2,7,59,1,1,0.28,0.42,0.36
0-2,7,60,0,1,0.27,0.47,0.31
0-2,7,61,0,1,0.30,0.45,0.37
0-2,7,62,2,2,0.27,0.33,0.39
0-2,7,63,2,2,0.25,0.31,0.44
0-2,7,64,1,2,0.27,0.37,0.48
0-2,7,65,1,1,0.27,0.39,0.35
0-2,7,66,2,2,0.22,0.36,0.43
0-2,7,67,1,1,0.27,0.45,0.35
0-2,7,68,1,1,0.33,0.50,0.34
0-2,7,69,2,2,0.24,0.44,0.45
0-2,7,70,2,2,0.19,0.38,0.49
0-2,7,71,1,2,0.21,0.44,0.51
0-2,7,72,2,2,0.15,0.46,0.48
0-2,7,73,1,2,0.20,0.45,0.50
0-2,7,74,1,1,0.20,0.46,0.38
0-2,7,75,2,2,0.17,0.43,0.48
0-2,7,76,0,1,0.26,0.54,0.38
0-2,7,77,2,2,0.18,0.44,0.49
0-2,7,78,2,2,0.18,0.41,0.52
0-2,7,79,0,1,0.28,0.41,0.35
0-2,7,80,0,1,0.30,0.44,0.38
0-2,7,81,1,2,0.24,0.36,0.48
0-2,7,82,0,1,0.28,0.40,0.40
0-2,7,83,0,1,0.31,0.37,0.36
0-2,7,84,2,2,0.27,0.27,0.42
0-2,7,85,0,0,0.39,0.34,0.27
0-2,7,86,0,0,0.47,0.37,0.28
0-2,7,87,2,2,0.30,0.23,0.43
0-2,7,88,2,2,0.25,0.29,0.45
0-2,7,89,2,2,0.24,0.28,0.49
0-2,7,90,0,2,0.35,0.28,0.44
0-2,7,91,2,2,0.25,0.26,0.49
0-2,7,92,2,2,0.24,0.25,0.53
0-2,7,93,2,2,0.33,0.22,0.57
0-2,7,94,1,2,0.29,0.25,0.56
0-2,7,95,0,2,0.38,0.32,0.40
0-2,7,96,0,0,0.37,0.26,0.35
0-2,7,97,2,2,0.30,0.18,0.53
0-2,7,98,2,2,0.29,0.18,0.57
0-2,7,99,1,2,0.31,0.25,0.54
0-2,7,100,0,0,0.42,0.27,0.33
0-2,7,101,2,2,0.29,0.19,0.56
0-2,7,102,1,2,0.31,0.26,0.52
0-2,7,103,0,0,0.41,0.32,0.36
0-2,7,104,2,2,0.29,0.20,0.54
0-2,7,105,2,2,0.27,0.20,0.58
0-2,7,106,2,2,0.26,0.19,0.61
0-2,7,107,1,2,0.34,0.26,0.43
0-2,7,108,1,2,0.32,0.30,0.40
0-2,7,109,1,0,0.38,0.35,0.37
0-2,7,110,1,2,0.25,0.35,0.49
0-2,7,111,2,2,0.20,0.29,0.55
0-2,7,112,1,2,0.23,0.36,0.40
0-2,7,113,2,2,0.19,0.31,0.57
0-2,7,114,2,2,0.18,0.29,0.61
0-2,7,115,1,2,0.21,0.36,0.43
0-2,7,116,2,2,0.15,0.37,0.55
0-2,7,117,2,2,0.17,0.29,0.64
0-2,7,118,0,2,0.26,0.35,0.39
0-2,7,119,2,2,0.17,0.32,0.58
0-2,7,120,1,2,0.22,0.34,0.55
0-2,7,121,0,2,0.28,0.34,0.36
0-2,7,122,1,2,0.28,0.36,0.37
0-2,7,123,0,1,0.34,0.41,0.34
0-2,7,124,1,1,0.25,0.36,0.36
0-2,7,125,0,1,0.32,0.36,0.29
0-2,7,126,1,1,0.29,0.36,0.32
0-2,7,127,1,1,0.27,0.41,0.40
0-2,7,128,0,1,0.32,0.42,0.33
0-2,7,129,1,1,0.33,0.42,0.25
0-2,7,130,2,1,0.20,0.41,0.40
0-2,7,131,2,2,0.22,0.33,0.49
0-2,7,132,2,2,0.19,0.37,0.48
0-2,7,133,2,2,0.18,0.36,0.52
0-2,7,134,0,1,0.36,0.40,0.34
0-2,7,135,2,2,0.20,0.32,0.53
0-2,7,136,0,2,0.32,0.32,0.43
0-2,7,137,1,2,0.31,0.31,0.36
0-2,7,138,0,0,0.42,0.33,0.26
0-2,7,139,2,2,0.26,0.25,0.55
0-2,7,140,1,1,0.34,0.35,0.33
0-2,7,141,1,1,0.41,0.41,0.30
0-2,7,142,0,1,0.39,0.41,0.29
0-2,7,143,1,2,0.29,0.38,0.40
0-2,7,144,1,1,0.33,0.41,0.27
0-2,7,145,1,1,0.26,0.43,0.29
0-2,7,146,1,1,0.30,0.49,0.25
0-2,7,147,0,1,0.38,0.51,0.24
0-2,7,148,1,1,0.27,0.49,0.34
0-2,7,149,1,1,0.26,0.52,0.32
0-2,7,150,1,1,0.25,0.55,0.31
0-2,7,151,0,1,0.32,0.53,0.25
0-2,7,152,2,1,0.22,0.42,0.40
0-2,7,153,0,1,0.41,0.45,0.18
0-2,7,154,1,1,0.34,0.48,0.21
0-2,7,155,1,1,0.28,0.53,0.30
0-2,7,156,2,1,0.22,0.42,0.42
0-2,7,157,1,1,0.30,0.54,0.22
0-2,7,158,0,1,0.34,0.48,0.20
0-2,7,159,1,1,0.26,0.50,0.24
0-2,7,160,2,1,0.19,0.48,0.38
0-2,7,161,2,2,0.20,0.40,0.48
0-2,7,162,2,2,0.27,0.40,0.45
0-2,7,163,1,1,0.23,0.49,0.40
0-2,7,164,2,2,0.18,0.38,0.54
0-2,7,165,2,2,0.16,0.42,0.51
0-2,7,166,1,1,0.27,0.46,0.31
0-2,7,167,1,1,0.25,0.52,0.30
0-2,7,168,0,1,0.29,0.45,0.26
0-2,7,169,2,2,0.25,0.40,0.49
0-2,7,170,1,1,0.22,0.50,0.43
0-2,7,171,1,1,0.25,0.54,0.28
0-2,7,172,1,1,0.22,0.52,0.30
0-2,7,173,1,1,0.20,0.59,0.37
0-2,7,174,2,1,0.14,0.51,0.46
0-2,7,175,1,1,0.19,0.58,0.38
0-2,7,176,0,1,0.38,0.57,0.22
0-2,7,177,0,1,0.28,0.50,0.30
0-2,7,178,2,2,0.18,0.39,0.50
0-2,7,179,2,2,0.19,0.44,0.46
0-2,7,180,2,2,0.16,0.40,0.52
0-2,7,181,2,2,0.18,0.39,0.54
0-2,7,182,1,1,0.21,0.46,0.45
0-2,7,183,1,1,0.22,0.45,0.34
0-2,7,184,1,1,0.22,0.49,0.32
0-2,7,185,2,2,0.16,0.47,0.51
0-2,7,186,2,2,0.13,0.42,0.56
0-2,7,187,1,1,0.19,0.51,0.45
0-2,7,188,0,1,0.38,0.49,0.25
0-2,7,189,1,1,0.21,0.51,0.40
0-2,7,190,2,2,0.15,0.37,0.59
0-2,7,191,2,2,0.15,0.35,0.62
0-2,7,192,2,2,0.14,0.38,0.58
0-2,7,193,2,2,0.13,0.36,0.61
0-2,7,194,0,2,0.26,0.37,0.44
0-2,7,195,1,1,0.25,0.45,0.32
0-2,7,196,1,1,0.20,0.43,0.35
0-2,7,197,0,1,0.34,0.46,0.28
0-2,7,198,0,1,0.33,0.37,0.26
0-2,7,199,1,1,0.29,0.47,0.26
0-2,7,200,0,0,0.41,0.39,0.21
0-2,7,201,0,0,0.38,0.35,0.23
0-2,7,202,2,2,0.23,0.28,0.56
0-2,7,203,0,0,0.40,0.33,0.24
0-2,7,204,2,2,0.22,0.30,0.51
0-2,7,205,2,2,0.25,0.31,0.54
0-2,7,206,0,0,0.46,0.35,0.28
0-2,7,207,2,2,0.34,0.25,0.54
0-2,7,208,1,2,0.30,0.37,0.44
0-2,7,209,2,2,0.31,0.27,0.55
0-2,7,210,0,2,0.37,0.30,0.39
0-2,7,211,1,1,0.35,0.39,0.28
0-2,7,212,1,1,0.28,0.37,0.32
0-2,7,213,2,2,0.23,0.34,0.53
0-2,7,214,2,2,0.22,0.32,0.57
0-2,7,215,1,1,0.25,0.37,0.36
0-2,7,216,1,1,0.25,0.45,0.42
0-2,7,217,1,1,0.24,0.44,0.32
0-2,7,218,2,2,0.16,0.38,0.56
0-2,7,219,1,1,0.23,0.45,0.33
0-2,7,220,2,2,0.15,0.39,0.57
0-2,7,221,1,1,0.22,0.51,0.42
0-2,7,222,2,2,0.16,0.34,0.65
0-2,7,223,0,1,0.30,0.40,0.37
0-2,7,224,1,1,0.24,0.50,0.38
0-2,7,225,2,2,0.16,0.38,0.55
0-2,7,226,1,1,0.36,0.52,0.26
0-2,7,227,2,2,0.23,0.37,0.54
0-2,7,228,0,1,0.37,0.45,0.27
0-2,7,229,2,2,0.16,0.34,0.59
0-2,7,230,2,2,0.15,0.33,0.62
0-2,7,231,2,2,0.15,0.31,0.64
0-2,7,232,1,1,0.28,0.40,0.34
0-2,7,233,0,1,0.37,0.41,0.30
0-2,7,234,0,2,0.34,0.33,0.38
0-2,7,235,1,1,0.33,0.39,0.29
0-2,7,236,2,2,0.20,0.34,0.57
0-2,7,237,1,1,0.23,0.40,0.34
0-2,7,238,1,1,0.24,0.49,0.40
0-2,7,239,0,1,0.40,0.45,0.24
0-2,7,240,0,0,0.37,0.36,0.31
0-2,7,241,2,2,0.19,0.31,0.55
0-2,7,242,2,2,0.19,0.30,0.58
0-2,7,243,1,1,0.32,0.47,0.26
0-2,7,244,2,2,0.19,0.26,0.66
0-2,7,245,2,2,0.17,0.31,0.63
0-2,7,246,2,2,0.16,0.29,0.65
0-2,7,247,2,2,0.16,0.28,0.67
0-2,7,248,1,2,0.24,0.43,0.46
0-2,7,249,1,1,0.24,0.42,0.35
0-2,7,250,0,1,0.40,0.42,0.27
0-2,7,251,0,0,0.39,0.32,0.26
0-2,7,252,1,1,0.27,0.40,0.32
0-2,7,253,1,1,0.27,0.50,0.36
0-2,7,254,2,2,0.18,0.30,0.64
0-2,7,255,0,0,0.37,0.36,0.32
0-2,7,256,2,2,0.18,0.31,0.59
0-2,7,257,2,2,0.18,0.30,0.62
0-2,7,258,1,1,0.34,0.41,0.29
0-2,7,259,2,2,0.18,0.26,0.69
0-2,7,260,1,1,0.25,0.49,0.40
0-2,7,261,2,2,0.17,0.28,0.69
0-2,7,262,2,2,0.16,0.27,0.71
0-2,7,263,2,2,0.16,0.26,0.73
0-2,7,264,1,1,0.37,0.49,0.28
0-2,7,265,1,1,0.28,0.45,0.30
0-2,7,266,0,1,0.32,0.38,0.35
0-2,7,267,2,2,0.15,0.33,0.64
0-2,7,268,1,1,0.27,0.53,0.27
0-2,7,269,1,1,0.23,0.50,0.30
0-2,7,270,2,2,0.14,0.31,0.70
0-2,7,271,0,1,0.33,0.38,0.33
0-2,7,272,2,2,0.15,0.32,0.63
0-2,7,273,1,1,0.22,0.45,0.32
0-2,7,274,1,1,0.23,0.55,0.36
0-2,7,275,1,1,0.28,0.51,0.25
0-2,7,276,1,1,0.21,0.61,0.33
0-2,7,277,1,1,0.22,0.59,0.24
0-2,7,278,2,2,0.12,0.43,0.58
0-2,7,279,2,2,0.13,0.35,0.67
0-2,7,280,2,2,0.21,0.38,0.57
0-2,7,281,0,1,0.44,0.49,0.21
0-2,7,282,1,1,0.21,0.57,0.36
0-2,7,283,2,2,0.22,0.36,0.57
0-2,7,284,1,1,0.33,0.58,0.24
0-2,7,285,2,2,0.20,0.36,0.60
0-2,7,286,0,1,0.31,0.39,0.26
0-2,7,287,0,1,0.39,0.45,0.24
0-2,7,288,2,2,0.14,0.31,0.65
0-2,7,289,1,1,0.36,0.52,0.24
0-2,7,290,0,0,0.48,0.45,0.20
0-2,7,291,1,1,0.30,0.45,0.26
0-2,7,292,1,1,0.21,0.49,0.30
0-2,7,293,1,1,0.22,0.59,0.33
0-2,7,294,2,2,0.14,0.32,0.68
0-2,7,295,1,1,0.34,0.60,0.21
0-2,7,296,2,2,0.15,0.43,0.58
0-2,7,297,2,2,0.11,0.35,0.66
0-2,7,298,1,1,0.32,0.58,0.23
0-2,7,299,0,1,0.44,0.49,0.20
0-2,7,300,2,2,0.12,0.33,0.67
0-2,7,301,2,2,0.13,0.26,0.75
0-2,7,302,2,2,0.12,0.25,0.76
0-2,7,303,2,2,0.11,0.29,0.71
0-2,7,304,2,2,0.12,0.23,0.79
0-2,7,305,0,1,0.37,0.40,0.27
0-2,7,306,1,1,0.21,0.48,0.41
0-2,7,307,2,2,0.12,0.28,0.70
0-2,7,308,2,2,0.15,0.30,0.68
0-2,7,309,2,2,0.12,0.20,0.80
0-2,7,310,1,1,0.20,0.44,0.35
0-2,7,311,1,1,0.20,0.48,0.33
0-2,7,312,1,1,0.18,0.48,0.34
0-2,7,313,1,1,0.22,0.62,0.24
0-2,7,314,1,1,0.18,0.61,0.36
0-2,7,315,0,1,0.36,0.51,0.21
0-2,7,316,1,1,0.33,0.61,0.20
0-2,7,317,2,2,0.11,0.36,0.65
0-2,7,318,1,1,0.19,0.57,0.26
0-2,7,319,2,2,0.13,0.41,0.62
0-2,7,320,0,1,0.37,0.48,0.22
0-2,7,321,2,2,0.21,0.31,0.61
0-2,7,322,1,1,0.23,0.60,0.23
0-2,7,323,1,1,0.19,0.60,0.35
0-2,7,324,1,1,0.19,0.63,0.33
0-2,7,325,0,1,0.40,0.44,0.17
0-2,7,326,1,1,0.21,0.63,0.30
0-2,7,327,0,1,0.35,0.41,0.19
0-2,7,328,2,2,0.14,0.29,0.69
0-2,7,329,1,1,0.25,0.64,0.18
0-2,7,330,2,2,0.13,0.29,0.71
0-2,7,331,2,2,0.21,0.32,0.59
0-2,7,332,1,1,0.26,0.51,0.24
0-2,7,333,1,1,0.19,0.63,0.32
0-2,7,334,0,1,0.47,0.51,0.16
0-2,7,335,1,1,0.35,0.62,0.18
0-2,7,336,1,1,0.23,0.68,0.18
0-2,7,337,2,2,0.11,0.31,0.72
0-2,7,338,2,2,0.11,0.29,0.74
0-2,7,339,1,1,0.19,0.64,0.31
0-2,7,340,2,2,0.10,0.35,0.66
0-2,7,341,0,1,0.33,0.39,0.21
0-2,7,342,2,2,0.12,0.26,0.75
0-2,7,343,2,2,0.12,0.25,0.76
0-2,7,344,2,2,0.11,0.28,0.70
0-2,7,345,1,1,0.18,0.49,0.30
0-2,7,346,2,2,0.11,0.30,0.70
0-2,7,347,2,2,0.11,0.24,0.79
0-2,7,348,2,2,0.10,0.27,0.73
0-2,7,349,1,1,0.18,0.58,0.36
0-2,7,350,0,1,0.31,0.35,0.33
0-2,7,351,1,1,0.24,0.62,0.20
0-2,7,352,2,2,0.12,0.24,0.77
0-2,7,353,2,2,0.12,0.23,0.78
0-2,7,354,1,1,0.23,0.62,0.21
0-2,7,355,2,2,0.11,0.28,0.72
0-2,7,356,2,2,0.11,0.22,0.80
0-2,7,357,2,2,0.11,0.21,0.81
0-2,7,358,2,2,0.10,0.21,0.81
0-2,7,359,0,2,0.32,0.31,0.35
0-2,7,360,2,2,0.12,0.19,0.80
0-2,7,361,1,1,0.20,0.55,0.35
0-2,7,362,0,0,0.44,0.35,0.18
0-2,7,363,2,2,0.12,0.23,0.72
0-2,7,364,0,0,0.47,0.33,0.19
0-2,7,365,2,2,0.13,0.21,0.73
0-2,7,366,2,2,0.14,0.17,0.81
0-2,7,367,1,1,0.23,0.53,0.34
0-2,7,368,2,2,0.13,0.22,0.73
0-2,7,369,0,0,0.41,0.28,0.23
0-2,7,370,0,0,0.42,0.27,0.30
0-2,7,371,2,2,0.16,0.20,0.72
0-2,7,372,2,2,0.27,0.20,0.66
0-2,7,373,2,2,0.15,0.15,0.82
0-2,7,374,1,1,0.25,0.51,0.34
0-2,7,375,2,2,0.25,0.21,0.67
0-2,7,376,1,1,0.31,0.42,0.26
0-2,7,377,2,2,0.13,0.18,0.82
0-2,7,378,1,1,0.22,0.57,0.34
0-2,7,379,1,1,0.22,0.60,0.31
0-2,7,380,0,0,0.48,0.36,0.17
0-2,7,381,2,2,0.13,0.24,0.72
0-2,7,382,2,2,0.13,0.19,0.81
0-2,7,383,1,1,0.23,0.59,0.31
0-2,7,384,2,2,0.12,0.24,0.74
0-2,7,385,0,0,0.55,0.42,0.17
0-2,7,386,0,0,0.49,0.39,0.20
0-2,7,387,2,2,0.15,0.16,0.80
0-2,7,388,1,1,0.26,0.56,0.29
0-2,7,389,2,2,0.13,0.22,0.73
0-2,7,390,2,2,0.14,0.17,0.81
0-2,7,391,1,1,0.40,0.54,0.19
0-2,7,392,1,1,0.37,0.57,0.19
0-2,7,393,2,2,0.21,0.25,0.67
0-2,7,394,1,1,0.20,0.62,0.31
0-2,7,395,2,2,0.19,0.26,0.68
0-2,7,396,2,2,0.10,0.20,0.83
0-2,7,397,2,2,0.10,0.23,0.77
0-2,7,398,1,1,0.19,0.62,0.33
0-2,7,399,2,2,0.10,0.24,0.77
0-2,7,400,1,1,0.19,0.56,0.27
0-2,7,401,2,2,0.09,0.25,0.77
0-2,7,402,1,1,0.18,0.65,0.31
0-2,7,403,2,2,0.09,0.26,0.77
0-2,7,404,2,2,0.09,0.21,0.84
0-2,7,405,2,2,0.09,0.24,0.78
0-2,7,406,1,1,0.17,0.65,0.32
0-2,7,407,1,1,0.17,0.67,0.30
0-2,7,408,2,2,0.09,0.26,0.77
0-2,7,409,0,0,0.47,0.46,0.17
0-2,7,410,0,0,0.51,0.43,0.16
0-2,7,411,1,1,0.21,0.55,0.24
0-2,7,412,1,1,0.20,0.66,0.26
0-2,7,413,1,1,0.26,0.52,0.21
0-2,7,414,0,1,0.42,0.47,0.17
0-2,7,415,2,2,0.11,0.21,0.80
0-2,7,416,2,2,0.14,0.31,0.67
0-2,7,417,2,2,0.10,0.19,0.82
0-2,7,418,0,0,0.45,0.41,0.19
0-2,7,419,1,1,0.22,0.63,0.26
0-2,7,420,1,1,0.22,0.57,0.21
0-2,7,421,2,2,0.11,0.24,0.75
0-2,7,422,2,2,0.11,0.19,0.82
0-2,7,423,2,2,0.13,0.29,0.70
0-2,7,424,2,2,0.10,0.21,0.78
0-2,7,425,0,0,0.45,0.39,0.20
0-2,7,426,0,0,0.44,0.27,0.21
0-2,7,427,1,1,0.28,0.61,0.17
0-2,7,428,1,1,0.24,0.55,0.22
0-2,7,429,1,1,0.23,0.66,0.25
0-2,7,430,0,0,0.58,0.44,0.14
0-2,7,431,1,1,0.24,0.66,0.23
0-2,7,432,2,2,0.15,0.29,0.67
0-2,7,433,2,2,0.11,0.21,0.76
0-2,7,434,2,2,0.21,0.22,0.69
0-2,7,435,2,2,0.11,0.20,0.79
0-2,7,436,2,2,0.11,0.16,0.85
0-2,7,437,0,0,0.48,0.37,0.20
0-2,7,438,2,2,0.22,0.19,0.72
0-2,7,439,1,1,0.39,0.55,0.19
0-2,7,440,1,1,0.24,0.65,0.19
0-2,7,441,0,0,0.56,0.40,0.16
0-2,7,442,2,2,0.21,0.20,0.72
0-2,7,443,2,2,0.10,0.15,0.86
0-2,7,444,1,1,0.29,0.44,0.25
0-2,7,445,2,2,0.10,0.17,0.86
0-2,7,446,2,2,0.10,0.19,0.81
0-2,7,447,2,2,0.10,0.16,0.87
0-2,7,448,1,1,0.18,0.48,0.31
0-2,7,449,1,1,0.19,0.67,0.28
0-2,7,450,1,1,0.19,0.62,0.23
0-2,7,451,2,2,0.09,0.20,0.85
0-2,7,452,2,2,0.09,0.23,0.80
0-2,7,453,2,2,0.09,0.22,0.80
0-2,7,454,1,1,0.18,0.69,0.28
0-2,7,455,0,0,0.39,0.32,0.21
0-2,7,456,0,0,0.40,0.31,0.28
0-2,7,457,2,2,0.21,0.22,0.69
0-2,7,458,2,2,0.11,0.16,0.85
0-2,7,459,1,1,0.22,0.67,0.25
0-2,7,460,2,2,0.10,0.20,0.79
0-2,7,461,2,2,0.10,0.19,0.80
0-2,7,462,1,1,0.21,0.67,0.26
0-2,7,463,0,0,0.41,0.30,0.27
0-2,7,464,2,2,0.11,0.19,0.78
0-2,7,465,1,1,0.39,0.61,0.15
0-2,7,466,2,2,0.10,0.17,0.85
0-2,7,467,1,1,0.21,0.69,0.24
0-2,7,468,1,1,0.20,0.71,0.23
0-2,7,469,1,1,0.35,0.66,0.14
0-2,7,470,2,2,0.12,0.31,0.70
0-2,7,471,2,2,0.09,0.19,0.85
0-2,7,472,1,1,0.32,0.66,0.15
0-2,7,473,1,1,0.24,0.55,0.21
0-2,7,474,0,0,0.46,0.40,0.15
0-2,7,475,0,0,0.55,0.47,0.13
0-2,7,476,1,1,0.23,0.73,0.14
0-2,7,477,1,1,0.19,0.66,0.19
0-2,7,478,1,1,0.33,0.69,0.14
0-2,7,479,2,2,0.08,0.21,0.83
0-2,7,480,1,1,0.17,0.76,0.21
0-2,7,481,2,2,0.16,0.27,0.68
0-2,7,482,0,0,0.53,0.48,0.13
0-2,7,483,2,2,0.17,0.24,0.70
0-2,7,484,2,2,0.09,0.18,0.86
0-2,7,485,1,1,0.16,0.55,0.26
0-2,7,486,1,1,0.18,0.68,0.19
0-2,7,487,1,1,0.20,0.77,0.14
0-2,7,488,1,1,0.30,0.71,0.14
0-2,7,489,1,1,0.29,0.73,0.14
0-2,7,490,1,1,0.27,0.74,0.13
0-2,7,491,2,2,0.07,0.24,0.84
0-2,7,492,0,1,0.36,0.38,0.17
0-2,7,493,0,0,0.48,0.40,0.14
0-2,7,494,2,2,0.17,0.25,0.69
0-2,7,495,1,1,0.31,0.70,0.14
0-2,7,496,2,2,0.08,0.20,0.85
0-2,7,497,0,0,0.49,0.37,0.14
